ZCTA,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,BROAD,REMNRTY,POV150,NOHSDP,SNGPNT,UNEMP,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
29574,SC,28,11,4.5,5,7,0,6,9432,41.5,58.7,36,24.4,9,8.7,116.62425784563189,47.70992366412214,3,53.011026293469044,74.21543681085666,0,63.61323155216285
29575,SC,37,12,5.5,5,7,1,9,18971,12.2,12.5,19.8,4.6,4.2,7.3,63.25444098887776,28.991618786568974,2,26.356017078699068,36.89842391017869,5.271203415739813,47.440830741658324
29576,SC,60,25,11.5,10,20,1,15,32394,9.7,6.7,14.8,5.4,2.2,3,77.17478545409644,35.50040130888436,2,30.869914181638574,61.73982836327715,3.0869914181638576,46.30487127245786
29577,SC,146,59,26.75,27,42,0,38,34068,15.2,37.1,35.9,10,6.7,5.3,173.18304567335917,78.51943172478572,4,79.25325818950334,123.28284607256076,0,111.54162263707879
29579,SC,95,42,19.75,18,30,0,31,47118,6.4,17.1,19.1,5.8,6.3,7.1,89.13790907933274,41.916040578971945,2,38.201961033999744,63.66993505666624,0,65.79226622522178
29580,SC,2,1,0.75,1,1,1,0,1585,29.2,88.4,31.5,18,12.1,5.3,63.09148264984227,47.3186119873817,3,63.09148264984227,63.09148264984227,63.09148264984227,0
29581,SC,6,3,1.25,1,2,0,2,4573,38.1,35,42.2,17,1,4.4,65.6024491581019,27.334353815875794,2,21.867483052700635,43.73496610540127,0,43.73496610540127
29582,SC,49,19,9.75,10,16,0,14,19036,9.4,17.5,18.4,6.6,2.3,8.3,99.81088463963017,51.21874343349443,3,52.532044547173776,84.05127127547804,0,73.54486236604329
29583,SC,5,2,1,1,2,0,1,5044,39.1,38.6,31.2,13.3,8.7,5.4,39.65107057890563,19.825535289452816,2,19.825535289452816,39.65107057890563,0,19.825535289452816
29584,SC,4,3,1.25,1,3,0,1,2632,21.8,25,32.7,15,6.4,8.6,113.98176291793312,47.49240121580547,3,37.993920972644375,113.98176291793312,0,37.993920972644375
29585,SC,56,19,10,13,14,0,13,16131,10.7,14.8,11.4,5.7,1,4.3,117.78563015312132,61.99243692269543,3,80.59016799950406,86.78941169177361,0,80.59016799950406
29588,SC,70,27,11,10,17,0,18,52184,8.4,21.1,22.3,8.6,6.4,5.6,51.73999693392611,21.079258010118043,2,19.16296182738004,32.57703510654607,0,34.49333128928407
29590,SC,6,1,0.5,1,0,0,1,3560,33.8,80.7,41.9,19.5,1.5,1.7,28.089887640449437,14.044943820224718,1,28.089887640449437,0,0,28.089887640449437
29591,SC,6,1,0.25,0,0,0,1,4936,27.2,34.9,30,25.4,10.4,5.1,20.25931928687196,5.06482982171799,1,0,0,0,20.25931928687196
29593,SC,2,2,1,1,2,0,1,1969,33.3,41.4,44.1,13.4,6.2,0,101.57440325038091,50.787201625190455,3,50.787201625190455,101.57440325038091,0,50.787201625190455
29596,SC,3,1,0.25,0,0,0,1,1943,32.9,35.3,47.4,23.6,5.9,4.1,51.4668039114771,12.866700977869275,1,0,0,0,51.4668039114771
29601,SC,192,94,41,40,79,2,43,12745,18.3,36,26.3,11.9,3.9,4.7,737.5441349548843,321.6947822675559,5,313.8485680659082,619.8509219301687,15.692428403295409,337.3872106708513
29605,SC,123,61,27,24,46,1,37,39927,14.5,54.5,28.8,16.6,10.5,6.2,152.77882134896186,67.62341272822901,3,60.109700202870236,115.21025872216795,2.50457084178626,92.66912114609161
29606,SC,1,1,0.75,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29607,SC,207,106,50.25,62,77,4,58,41624,10.8,39.4,21.3,7.6,8.5,2.8,254.66077263117432,120.72362098789161,5,148.95252738804535,184.9894291754757,9.609840476648088,139.34268691139727
29608,SC,1,1,0.75,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29609,SC,125,56,24,19,44,2,32,29502,13.1,29.4,22.9,11.6,5.5,3.6,189.817639482069,81.35041692088672,4,64.40241339570198,149.14243102162564,6.7792014100738935,108.4672225611823
29611,SC,80,34,17,14,28,0,26,31784,21,53.4,36.9,23.7,11.2,5.5,106.97206141454821,53.486030707274104,3,44.047319405990436,88.09463881198087,0,81.8021646111251
29613,SC,13,6,2,1,4,0,3,2151,NA,20.3,NA,0,NA,8.1,278.9400278940028,92.98000929800094,4,46.49000464900047,185.96001859600187,0,139.4700139470014
29614,SC,4,1,0.5,1,0,0,1,1820,100,24.6,0,2.1,0,1.8,54.94505494505494,27.47252747252747,2,54.94505494505494,0,0,54.94505494505494
29615,SC,156,62,29.25,29,53,1,34,38495,8.7,26.6,13.1,4,4.3,3.1,161.0598779062216,75.98389401220938,4,75.33445902065203,137.68021821015716,2.5977399662293803,88.32315885179894
29616,SC,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29617,SC,44,20,10.25,11,15,0,15,27595,15.3,43,29.9,19.4,6.9,3.8,72.47689798876608,37.144410219242616,2,39.862293893821345,54.35767349157456,0,54.35767349157456
29620,SC,42,16,6.75,4,12,0,11,12513,25.8,32.9,25.7,17.3,8.8,4.1,127.86701830096699,53.94389834572045,3,31.966754575241747,95.90026372572524,0,87.9085750819148
29621,SC,135,58,27.25,28,45,0,36,44314,11.7,25.9,18.5,7.7,6.6,6.2,130.88414496547367,61.492981901882025,3,63.18544929367694,101.54804350769508,0,81.23843480615606
29622,SC,1,1,0.5,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29624,SC,43,13,5.5,5,8,1,8,14272,33.3,50.9,46.9,27.6,8,8.4,91.08744394618834,38.53699551569507,2,35.03363228699551,56.053811659192824,7.006726457399103,56.053811659192824
29625,SC,66,28,12.75,11,22,0,18,28023,19,25.5,26.4,12.2,6.2,4.3,99.91792456196696,45.49834064875281,3,39.25347036362987,78.50694072725975,0,64.23295150412162
29626,SC,26,10,5.5,5,8,0,9,13537,27.4,35.8,30.1,21.8,9.6,8,73.87161113983896,40.62938612691143,2,36.93580556991948,59.09728891187117,0,66.48445002585507
29627,SC,38,13,6,8,7,0,9,16236,19.5,19.4,24.5,15.7,4.6,4.4,80.0689825080069,36.95491500369549,2,49.273220004927325,43.11406750431141,0,55.432372505543235
29628,SC,7,5,2.75,2,4,0,5,2481,30.2,53.9,39.9,20.6,6.2,4.9,201.53164046755342,110.84240225715438,5,80.61265618702136,161.22531237404272,0,201.53164046755342
29630,SC,33,16,8.5,10,14,0,10,15900,23.4,23.2,33.4,12.3,4.1,3,100.62893081761007,53.459119496855344,3,62.893081761006286,88.0503144654088,0,62.893081761006286
29631,SC,78,41,22.5,27,34,1,28,16137,13.4,19.2,45.5,5,1.8,4.8,254.07448720332155,139.43112102621305,5,167.31734523145565,210.6959162173886,6.196938712276135,173.51428394373178
29632,SC,12,5,1.5,0,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29634,SC,36,23,9.75,5,23,0,11,5409,55.6,16.2,75.5,54.9,0,22.2,425.2172305416898,180.25513033832502,5,92.4385283786282,425.2172305416898,0,203.36476243298208
29635,SC,3,1,0.5,1,1,0,0,1245,23,3,13.7,10.5,5.9,2.1,80.32128514056225,40.16064257028113,2,80.32128514056225,80.32128514056225,0,0
29636,SC,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29638,SC,3,1,0.5,0,1,0,1,3861,29.9,22.6,36.2,14.7,5.7,4.5,25.9000259000259,12.95001295001295,1,0,25.9000259000259,0,25.9000259000259
29639,SC,5,3,0.75,0,3,0,0,1534,14.5,22.1,38.6,6.8,2.2,15,195.5671447196871,48.89178617992177,3,0,195.5671447196871,0,0
29640,SC,80,30,12.75,16,17,0,18,31993,16.7,16.2,25.2,16.3,4.7,4,93.77051229956552,39.85246772731535,2,50.010939893101614,53.13662363642047,0,56.26230737973932
29641,SC,1,1,0.5,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29642,SC,61,24,10.5,10,17,2,13,34395,13.7,14.4,15.9,10.2,3.2,2.9,69.77758395115569,30.527692978630615,2,29.07399331298154,49.42578863206862,5.814798662596307,37.796191306876
29643,SC,11,4,2.25,2,4,0,3,2563,22.9,5.1,10.9,8.8,4.5,4.4,156.06710885680843,87.78774873195474,4,78.03355442840422,156.06710885680843,0,117.05033164260632
29644,SC,39,13,5.75,5,11,0,8,20731,13.4,30.5,25.6,12.5,7.6,6.9,62.70802180309681,27.736240412908206,2,24.118469924268005,53.06063383338961,0,38.58955187882881
29645,SC,23,8,4,4,6,1,5,10563,18.9,27.2,24.4,18.1,4.1,5.7,75.73605983148727,37.868029915743634,2,37.868029915743634,56.80204487361545,9.467007478935908,47.33503739467954
29646,SC,95,26,12.75,13,21,0,18,27562,26.2,55.5,36.3,19.2,11.3,6.7,94.33277701182787,46.2593425731079,3,47.166388505913936,76.19185835570714,0,65.30730716203469
29649,SC,101,47,22.75,20,35,1,35,27004,16.2,35.5,24.2,9.5,9,4.9,174.0482891423493,84.24677825507332,4,74.06310176270182,129.6104280847282,3.703155088135091,129.6104280847282
