FIPS,state,n,civic_org_sum,civic_opp_sum,volunteer_sum,membership_sum,take_action_sum,events_sum,TotalPopulation,Geolocation,POV150,SNGPNT,BROAD,NOHSDP,UNEMP,REMNRTY,civic_org_sum_normalized,civic_opp_sum_normalized,civic_opp_index,volunteer_sum_normalized,membership_sum_normalized,take_action_sum_normalized,events_sum_normalized
13025,GA,25,7,4,4,6,1,5,18072,POINT (-81.9829779 31.1973339),31.5,3.2,27.4,18.7,4.7,8.6,38.73395307658256,22.13368747233289,1,22.13368747233289,33.200531208499335,5.533421868083223,27.667109340416115
13027,GA,41,16,7,5,13,1,9,16254,POINT (-83.5819054 30.8229337),39,9.3,36.4,18.4,7.1,44.9,98.43730773963333,43.066322136089575,2,30.761658668635413,79.98031253845207,6.152331733727083,55.370985603543744
13029,GA,73,35,17.75,21,28,0,22,43278,POINT (-81.4385431 32.0179692),13.2,8.7,10.8,7.7,6.3,28.7,80.87249872914644,41.01391006978141,2,48.52349923748787,64.69799898331716,0,50.83414205832062
13031,GA,150,57,28,29,51,2,30,79635,POINT (-81.7416185 32.3944811),32.1,8.4,16.9,11.8,9.1,37.2,71.57656809191938,35.16041941357443,2,36.416148678344946,64.04219250329629,2.5114585295410308,37.67187794311546
13033,GA,30,12,5.5,6,7,0,9,24231,POINT (-82.0001638 33.0601805),27,6.6,19.4,16.1,5.6,52.4,49.52333787297264,22.698196525112458,1,24.76166893648632,28.88861375923404,0,37.14250340472948
13035,GA,71,36,16.75,17,28,0,22,24950,POINT (-83.9582206 33.2903551),25.7,9.8,21.3,18.8,4.8,34.5,144.28857715430863,67.13426853707415,4,68.13627254509018,112.2244488977956,0,88.17635270541082
13037,GA,8,4,2,3,4,0,1,5668,POINT (-84.6262895 31.521279),40.7,11.5,28.6,23.4,15.1,67.7,70.57163020465772,35.28581510232886,2,52.928722653493296,70.57163020465772,0,17.64290755116443
13039,GA,136,47,23.75,24,36,2,33,54256,POINT (-81.6420193 30.913358),25.8,10.1,11.6,8.2,4.6,30.6,86.62636390445296,43.77396048363315,2,44.234739015039814,66.35210852255972,3.6862282512533175,60.82276614567974
13043,GA,15,4,2.25,2,4,0,3,10885,POINT (-82.0712656 32.4039497),42,8.6,24.9,21.9,5.8,40.3,36.747818098300414,20.670647680293982,1,18.373909049150207,36.747818098300414,0,27.56086357372531
13045,GA,317,129,62.25,60,97,7,86,118402,POINT (-85.0805272 33.5822366),26.2,8.7,13.5,14.4,6.1,31.5,108.95086231651493,52.575125420178715,3,50.674819682099965,81.92429181939494,5.912062296244996,72.63390821100995
13047,GA,92,42,17.5,12,33,1,24,67579,POINT (-85.1393851 34.9002118),18.4,5.8,13.4,10.9,3.5,10,62.149484307255214,25.89561846135634,1,17.756995516358632,48.83173766998624,1.4797496263632193,35.513991032717264
13049,GA,12,5,2.5,1,5,0,4,12416,POINT (-82.1396442 30.7799036),36.3,4.5,28,19.2,11.1,39,40.27061855670103,20.135309278350515,1,8.054123711340207,40.27061855670103,0,32.21649484536083
13051,GA,935,374,172.5,158,285,19,231,294815,POINT (-81.085184 31.9804037),23.2,8.3,10.7,9.4,7.1,52.7,126.85921679697438,58.51126977935316,3,53.59293116021912,96.67079354849652,6.4447195698997675,78.35422213930771
13053,GA,20,6,4,3,6,2,5,9533,POINT (-84.7880206 32.3474454),36.8,12.1,17.3,4.9,11.7,44.7,62.939263610615754,41.95950907374384,2,31.469631805307877,62.939263610615754,20.97975453687192,52.4493863421798
13055,GA,52,22,10.5,13,15,1,13,24898,POINT (-85.3452894 34.4741785),36.7,7.2,26.1,28,3.2,17.8,88.36051088440838,42.1720620130131,2,52.213029158968595,60.24580287573299,4.0163868583822,52.213029158968595
13057,GA,704,275,122.5,130,198,6,156,262155,POINT (-84.4750574 34.2443166),13.1,6.1,6.1,8.1,4.1,22.9,104.89977303503652,46.72808071560718,3,49.58898361656272,75.5278365852263,2.288722320764433,59.50678033987526
13059,GA,465,223,104.75,96,181,9,134,128195,POINT (-83.3671522 33.9521852),38.1,6.7,11.3,10.3,5.6,45.2,173.9537423456453,81.7114552049612,4,74.885915987363,141.191154101174,7.020554623815282,104.52825773236086
13061,GA,11,6,2.75,3,3,0,5,2883,POINT (-84.9925826 31.6198309),40.2,6.8,24.1,19.6,4.8,59,208.1165452653486,95.38674991328477,5,104.0582726326743,104.0582726326743,0,173.4304543877905
13063,GA,926,302,142,132,233,9,194,294335,POINT (-84.3555727 33.5426863),30.8,12.2,14.9,14.6,7,90.9,102.60417551429494,48.24434742725126,3,44.84685817181103,79.16149965175735,3.0577403298962067,65.91129155554046
13065,GA,17,6,2.25,0,6,0,3,6737,POINT (-82.7026143 30.9176531),49.6,12.3,44.9,25.8,5.1,35.5,89.0604126465786,33.397654742466976,2,0,89.0604126465786,0,44.5302063232893
13067,GA,3386,1247,568.5,545,958,53,723,762500,POINT (-84.5741213 33.9399286),14.9,6.6,5.4,7.1,4.9,49.9,163.54098360655738,74.55737704918033,4,71.47540983606558,125.63934426229508,6.950819672131147,94.81967213114754
13069,GA,67,16,8,9,15,1,8,43048,POINT (-82.8449401 31.5492452),36.4,8.7,23.7,22.8,4.2,42.6,37.16781267422412,18.58390633711206,1,20.90689462925107,34.844824382085115,2.3229882921390077,18.58390633711206
13071,GA,51,21,12.5,14,20,2,15,45800,POINT (-83.769773 31.1897075),38.9,9.8,26.4,23.6,6.9,45.2,45.851528384279476,27.292576419213972,1,30.56768558951965,43.66812227074236,4.366812227074236,32.751091703056765
13073,GA,397,166,80.5,72,134,5,112,154274,POINT (-82.2496077 33.5520746),12.4,7,11.2,7.1,5.2,33.2,107.60076228009905,52.179887732216706,3,46.67021014558513,86.85844665983899,3.240986815665634,72.5981046709102
13075,GA,34,14,6,5,10,1,8,17188,POINT (-83.4294448 31.1525157),35.5,5.1,28.9,18.6,5.3,36.1,81.45217593670003,34.908075401442865,2,29.090062834535722,58.180125669071444,5.818012566907145,46.54410053525716
13077,GA,361,125,58.5,55,96,4,79,144928,POINT (-84.7621381 33.3528965),15.3,7.6,10.5,9.5,3.4,29.9,86.24972400088319,40.36487083241334,2,37.949878560388605,66.23978803267829,2.7599911680282623,54.50982556855818
13079,GA,14,4,2,1,4,0,3,12159,POINT (-83.9791874 32.7094283),23.9,4.5,24.4,18.7,9.8,27,32.897442223867095,16.448721111933548,1,8.224360555966774,32.897442223867095,0,24.67308166790032
13081,GA,39,11,4.5,5,9,0,4,20524,POINT (-83.7565301 31.9202675),39.5,11.4,31.8,16.6,9.7,50.8,53.595790294289614,21.92555057493666,1,24.361722861040732,43.85110114987332,0,19.489378288832587
13083,GA,25,7,3.25,3,6,0,5,16313,POINT (-85.5062006 34.8524237),23,4.1,17.5,17.2,4.7,7.3,42.91056212836388,19.922760988168946,1,18.39024091215595,36.7804818243119,0,30.650401520259916
13085,GA,86,37,17.25,12,29,1,28,26202,POINT (-84.1732611 34.4426077),14.8,3.8,9.5,11.6,5.8,9.8,141.2105946110984,65.8346691092283,4,45.79803068468056,110.67857415464468,3.816502557056713,106.86207159758797
13087,GA,53,22,11.5,15,19,0,12,29020,POINT (-84.5838902 30.8806431),33.5,10,34.6,15.6,5.7,50.4,75.80978635423845,39.62784286698828,2,51.688490696071675,65.47208821502412,0,41.35079255685734
13089,GA,3896,1488,705,681,1162,73,911,758634,POINT (-84.2263432 33.7706611),22.4,7.9,10.4,9.3,6.7,70.9,196.14201314467846,92.93018767943435,5,89.76660682226212,153.1700398347556,9.622558440565543,120.08425670349602
